Time,LogPrice,Variance,Price
0.551587,4.000309,0.136490,54.615021
0.555556,4.013516,0.141294,55.341127
0.559524,4.006829,0.139107,54.972297
0.563492,3.983215,0.140947,53.689370
0.567460,3.987509,0.134421,53.920424
0.571429,3.981484,0.135899,53.596533
0.575397,4.023099,0.127815,55.874010
0.579365,3.981057,0.146717,53.573638
0.583333,3.970133,0.144466,52.991559
0.587302,3.942379,0.149831,51.541051
0.591270,3.952092,0.147777,52.044117
0.595238,3.940644,0.147674,51.451735
0.599206,3.962457,0.139074,52.586389
0.603175,3.967192,0.132093,52.835967
0.607143,3.975418,0.146836,53.272381
0.611111,3.945251,0.159784,51.689299
0.615079,3.972482,0.153373,53.116206
0.619048,3.996401,0.149800,54.401986
0.623016,3.989135,0.149735,54.008126
0.626984,3.976475,0.151892,53.328732
0.630952,3.991668,0.137800,54.145106
0.634921,4.038111,0.138957,56.719081
0.638889,4.007577,0.142339,55.013385
0.642857,4.063363,0.125215,58.169609
0.646825,4.090012,0.119375,59.740607
0.650794,4.101293,0.123334,60.418363
0.654762,4.101814,0.116672,60.449833
0.658730,4.140909,0.109419,62.859914
0.662698,4.146084,0.114378,63.186076
0.666667,4.111407,0.124112,61.032537
0.670635,4.102767,0.120187,60.507497
0.674603,4.150869,0.111984,63.489129
0.678571,4.147570,0.112801,63.280066
0.682540,4.171650,0.108403,64.822346
0.686508,4.192583,0.107499,66.193574
0.690476,4.181956,0.107839,65.493816
0.694444,4.162730,0.115442,64.246691
0.698413,4.168242,0.110140,64.601796
0.702381,4.154843,0.111565,63.741975
0.706349,4.152562,0.110757,63.596751
0.710317,4.173200,0.102655,64.922861
0.714286,4.165371,0.100006,64.416556
0.718254,4.154262,0.100838,63.704919
0.722222,4.116272,0.107455,61.330164
0.726190,4.087358,0.114760,59.582258
0.730159,4.061473,0.116914,58.059786
0.734127,4.074084,0.114101,58.796606
0.738095,4.064262,0.127167,58.221914
0.742063,4.071809,0.115884,58.662983
0.746032,4.080506,0.115180,59.175395
0.750000,4.099630,0.108589,60.317989
0.753968,4.086390,0.109430,59.524643
0.757937,4.090814,0.099072,59.788524
0.761905,4.118543,0.094258,61.469618
0.765873,4.126522,0.098031,61.962055
0.769841,4.133094,0.096676,62.370582
0.773810,4.149910,0.091382,63.428301
0.777778,4.163783,0.083585,64.314340
0.781746,4.145002,0.080795,63.117773
0.785714,4.167073,0.079205,64.526333
0.789683,4.157522,0.081579,63.912956
0.793651,4.144663,0.082991,63.096383
0.797619,4.161670,0.074727,64.178591
0.801587,4.155970,0.073664,63.813823
0.805556,4.174237,0.068942,64.990240
0.809524,4.173755,0.072411,64.958943
0.813492,4.202114,0.067490,66.827485
0.817460,4.205465,0.065852,67.051768
0.821429,4.198481,0.061266,66.585115
0.825397,4.176663,0.065435,65.148116
0.829365,4.167508,0.066809,64.554368
0.833333,4.173806,0.070881,64.962239
0.837302,4.160299,0.075626,64.090670
0.841270,4.159866,0.075599,64.062932
0.845238,4.147810,0.070829,63.295200
0.849206,4.166144,0.063795,64.466417
0.853175,4.202687,0.051856,66.865765
0.857143,4.200221,0.048640,66.701071
0.861111,4.188523,0.054464,65.925337
0.865079,4.186771,0.059731,65.809972
0.869048,4.163087,0.073468,64.269587
0.873016,4.188585,0.063832,65.929447
0.876984,4.189138,0.064512,65.965888
0.880952,4.170465,0.071413,64.745529
0.884921,4.151829,0.072409,63.550131
0.888889,4.132281,0.075584,62.319883
0.892857,4.155797,0.071415,63.802811
0.896825,4.154349,0.071257,63.710444
0.900794,4.157178,0.070404,63.890969
0.904762,4.136019,0.078075,62.553293
0.908730,4.112853,0.081327,61.120851
0.912698,4.103279,0.091446,60.538439
0.916667,4.115630,0.092034,61.290805
0.920635,4.118815,0.088605,61.486362
0.924603,4.121907,0.080138,61.676763
0.928571,4.144564,0.078763,63.090111
0.932540,4.142143,0.081016,62.937545
0.936508,4.115441,0.086657,61.279242
0.940476,4.104477,0.091361,60.611045
0.944444,4.106105,0.089926,60.709813
0.948413,4.104713,0.089240,60.625341
0.952381,4.078943,0.102036,59.083006
0.956349,4.069926,0.103242,58.552603
0.960317,4.053501,0.107983,57.598732
0.964286,4.043066,0.109460,57.000845
0.968254,4.033913,0.110533,56.481495
0.972222,4.043120,0.109943,57.003929
0.976190,4.038189,0.114692,56.723516
0.980159,4.007381,0.114135,55.002657
0.984127,4.002265,0.115729,54.721967
0.988095,3.992271,0.119358,54.177813
0.992063,3.925564,0.142736,50.681651
0.996032,3.849462,0.149545,46.967789
1.000000,3.917458,0.137554,50.272498
