Time,Price
0.000000,100.000000
0.003968,101.256299
0.007937,104.069896
0.011905,101.634852
0.015873,100.967252
0.019841,103.094390
0.023810,105.027750
0.027778,105.566854
0.031746,106.571563
0.035714,109.099305
0.039683,113.714723
0.043651,117.169738
0.047619,118.608989
0.051587,118.967098
0.055556,119.681215
0.059524,116.480067
0.063492,116.729616
0.067460,117.779199
0.071429,117.492356
0.075397,117.006870
0.079365,116.387619
0.083333,112.739853
0.087302,109.632322
0.091270,111.205427
0.095238,111.501785
0.099206,113.492050
0.103175,112.211548
0.107143,109.543136
0.111111,107.319841
0.115079,105.120875
0.119048,103.124325
0.123016,100.755649
0.126984,100.801403
0.130952,102.431299
0.134921,105.073654
0.138889,103.574139
0.142857,102.474668
0.146825,102.434099
0.150794,101.126720
0.154762,97.831237
0.158730,99.567416
0.162698,99.238587
0.166667,97.610815
0.170635,96.927708
0.174603,95.936212
0.178571,93.164851
0.182540,92.919131
0.186508,90.060007
0.190476,90.754322
0.194444,93.653511
0.198413,92.200608
0.202381,94.009192
0.206349,93.324330
0.210317,97.598299
0.214286,95.882236
0.218254,96.789871
0.222222,96.987073
0.226190,97.437095
0.230159,101.158127
0.234127,103.750180
0.238095,102.218643
0.242063,101.257154
0.246032,95.950253
0.250000,90.486305
0.253968,92.220246
0.257937,91.180005
0.261905,93.328870
0.265873,90.624125
0.269841,90.480042
0.273810,91.922024
0.277778,93.250662
0.281746,94.234163
0.285714,90.529302
0.289683,90.244769
0.293651,92.238324
0.297619,93.027315
0.301587,91.569472
0.305556,89.559409
0.309524,90.267828
0.313492,92.949849
0.317460,97.408114
0.321429,100.026298
0.325397,102.804788
0.329365,100.711476
0.333333,99.455814
0.337302,103.568523
0.341270,106.487421
0.345238,108.374040
0.349206,105.077477
0.353175,106.695264
0.357143,107.131213
0.361111,107.438390
0.365079,106.923760
0.369048,105.735460
0.373016,104.934433
0.376984,101.938028
0.380952,102.221531
0.384921,99.938645
0.388889,99.379169
0.392857,96.055902
0.396825,97.726619
0.400794,95.924437
0.404762,97.873923
0.408730,96.760941
0.412698,92.393317
0.416667,91.834325
0.420635,93.679663
0.424603,92.739531
0.428571,94.751343
0.432540,96.528625
0.436508,96.946277
0.440476,96.010644
0.444444,94.874222
0.448413,92.427607
0.452381,92.136815
0.456349,91.458327
0.460317,89.850997
0.464286,92.164249
0.468254,94.878910
0.472222,95.431445
0.476190,95.637203
0.480159,94.668175
0.484127,92.577623
0.488095,91.858083
0.492063,90.980603
0.496032,92.324275
0.500000,91.226722
0.503968,93.863555
0.507937,94.112919
0.511905,95.343096
0.515873,94.096156
0.519841,95.237832
0.523810,95.662604
0.527778,95.725861
0.531746,94.700690
0.535714,94.237692
0.539683,92.221566
0.543651,91.598365
0.547619,91.204258
0.551587,93.674807
0.555556,96.029822
0.559524,94.198110
0.563492,92.501734
0.567460,91.094508
0.571429,89.971989
0.575397,90.451467
0.579365,91.697723
0.583333,92.360843
0.587302,93.546296
0.591270,93.020023
0.595238,90.050641
0.599206,89.042289
0.603175,89.820086
0.607143,86.800320
0.611111,87.919506
0.615079,88.371280
0.619048,88.624446
0.623016,89.003731
0.626984,88.898652
0.630952,86.280575
0.634921,86.218430
0.638889,85.270938
0.642857,83.524058
0.646825,84.684535
0.650794,85.967655
0.654762,86.558826
0.658730,87.272407
0.662698,88.527659
0.666667,85.777162
0.670635,84.857531
0.674603,84.273536
0.678571,87.639082
0.682540,87.351935
0.686508,87.124937
0.690476,86.021697
0.694444,86.816592
0.698413,85.277144
0.702381,84.801197
0.706349,83.288181
0.710317,85.337647
0.714286,86.228430
0.718254,85.953250
0.722222,86.200905
0.726190,87.256399
0.730159,88.671537
0.734127,89.755832
0.738095,90.067015
0.742063,87.617002
0.746032,86.554812
0.750000,86.378521
0.753968,84.417507
0.757937,85.087126
0.761905,83.954063
0.765873,83.405180
0.769841,84.676485
0.773810,85.828177
0.777778,87.994403
0.781746,89.097734
0.785714,86.394789
0.789683,85.202003
0.793651,85.280496
0.797619,86.255815
0.801587,89.414058
0.805556,88.418750
0.809524,87.604081
0.813492,87.144410
0.817460,88.716527
0.821429,87.147795
0.825397,84.750037
0.829365,85.820664
0.833333,85.289180
0.837302,86.164632
0.841270,85.558327
0.845238,88.254816
0.849206,90.149592
0.853175,88.546716
0.857143,91.460487
0.861111,88.848353
0.865079,88.898601
0.869048,87.915682
0.873016,89.946946
0.876984,88.045806
0.880952,88.188650
0.884921,90.124568
0.888889,90.319001
0.892857,90.736719
0.896825,87.999612
0.900794,85.737735
0.904762,83.762687
0.908730,82.786344
0.912698,80.441352
0.916667,81.904900
0.920635,82.848847
0.924603,80.145469
0.928571,80.800940
0.932540,79.906219
0.936508,78.773833
0.940476,79.042326
0.944444,75.836409
0.948413,75.621445
0.952381,76.948881
0.956349,75.111581
0.960317,76.310020
0.964286,79.048261
0.968254,79.210927
0.972222,80.927360
0.976190,77.547723
0.980159,77.024430
0.984127,76.151403
0.988095,75.254239
0.992063,74.337920
0.996032,74.448794
1.000000,74.576200
